cod_evaluation,cod_question,cod_metric,value
8,56beace93aeaaa14008c91e0,F1,1.0
8,56beace93aeaaa14008c91e0,EM@3,1.0
8,56beace93aeaaa14008c91e0,F1@3,1.0
8,56beace93aeaaa14008c91e1,EM,0.0
8,56beace93aeaaa14008c91e1,F1,0.8
8,56beace93aeaaa14008c91e1,EM@3,1.0
8,56beace93aeaaa14008c91e1,F1@3,1.0
8,56beace93aeaaa14008c91e2,EM,1.0
8,56beace93aeaaa14008c91e2,F1,1.0
8,56beace93aeaaa14008c91e2,EM@3,1.0
8,56beace93aeaaa14008c91e2,F1@3,1.0
8,56beace93aeaaa14008c91e3,EM,1.0
8,56beace93aeaaa14008c91e3,F1,1.0
8,56beace93aeaaa14008c91e3,EM@3,1.0
8,56beace93aeaaa14008c91e3,F1@3,1.0
8,56bf10f43aeaaa14008c94fd,EM,1.0
8,56bf10f43aeaaa14008c94fd,F1,1.0
8,56bf10f43aeaaa14008c94fd,EM@3,1.0
8,56bf10f43aeaaa14008c94fd,F1@3,1.0
8,56bf10f43aeaaa14008c94fe,EM,0.0
8,56bf10f43aeaaa14008c94fe,F1,0.8
8,56bf10f43aeaaa14008c94fe,EM@3,1.0
8,56bf10f43aeaaa14008c94fe,F1@3,1.0
8,56bf10f43aeaaa14008c94ff,EM,1.0
8,56bf10f43aeaaa14008c94ff,F1,1.0
8,56bf10f43aeaaa14008c94ff,EM@3,1.0
8,56bf10f43aeaaa14008c94ff,F1@3,1.0
8,56bf10f43aeaaa14008c9500,EM,1.0
8,56bf10f43aeaaa14008c9500,F1,1.0
8,56bf10f43aeaaa14008c9500,EM@3,1.0
8,56bf10f43aeaaa14008c9500,F1@3,1.0
8,56bf10f43aeaaa14008c9501,EM,1.0
8,56bf10f43aeaaa14008c9501,F1,1.0
8,56bf10f43aeaaa14008c9501,EM@3,1.0
8,56bf10f43aeaaa14008c9501,F1@3,1.0
8,56d20362e7d4791d009025e8,EM,1.0
8,56d20362e7d4791d009025e8,F1,1.0
8,56d20362e7d4791d009025e8,EM@3,1.0
8,56d20362e7d4791d009025e8,F1@3,1.0
8,56d20362e7d4791d009025e9,EM,1.0
8,56d20362e7d4791d009025e9,F1,1.0
8,56d20362e7d4791d009025e9,EM@3,1.0
8,56d20362e7d4791d009025e9,F1@3,1.0
8,56d20362e7d4791d009025ea,EM,1.0
8,56d20362e7d4791d009025ea,F1,1.0
8,56d20362e7d4791d009025ea,EM@3,1.0
8,56d20362e7d4791d009025ea,F1@3,1.0
8,56d20362e7d4791d009025eb,EM,1.0
8,56d20362e7d4791d009025eb,F1,1.0
8,56d20362e7d4791d009025eb,EM@3,1.0
8,56d20362e7d4791d009025eb,F1@3,1.0
8,56d600e31c85041400946eae,EM,1.0
8,56d600e31c85041400946eae,F1,1.0
8,56d600e31c85041400946eae,EM@3,1.0
8,56d600e31c85041400946eae,F1@3,1.0
8,56d600e31c85041400946eb0,EM,0.0
8,56d600e31c85041400946eb0,F1,0.0
8,56d600e31c85041400946eb0,EM@3,1.0
8,56d600e31c85041400946eb0,F1@3,1.0
8,56d600e31c85041400946eb1,EM,1.0
8,56d600e31c85041400946eb1,F1,1.0
8,56d600e31c85041400946eb1,EM@3,1.0
8,56d600e31c85041400946eb1,F1@3,1.0
8,56d9895ddc89441400fdb50e,EM,0.0
8,56d9895ddc89441400fdb50e,F1,0.8
8,56d9895ddc89441400fdb50e,EM@3,1.0
8,56d9895ddc89441400fdb50e,F1@3,1.0
8,56d9895ddc89441400fdb510,EM,1.0
8,56d9895ddc89441400fdb510,F1,1.0
8,56d9895ddc89441400fdb510,EM@3,1.0
8,56d9895ddc89441400fdb510,F1@3,1.0
8,56be4e1facb8001400a502f6,EM,1.0
8,56be4e1facb8001400a502f6,F1,1.0
8,56be4e1facb8001400a502f6,EM@3,1.0
8,56be4e1facb8001400a502f6,F1@3,1.0
8,56be4e1facb8001400a502f9,EM,1.0
8,56be4e1facb8001400a502f9,F1,1.0
8,56be4e1facb8001400a502f9,EM@3,1.0
8,56be4e1facb8001400a502f9,F1@3,1.0
8,56be4e1facb8001400a502fa,EM,1.0
8,56be4e1facb8001400a502fa,F1,1.0
8,56be4e1facb8001400a502fa,EM@3,1.0
8,56be4e1facb8001400a502fa,F1@3,1.0
8,56beaa4a3aeaaa14008c91c2,EM,1.0
8,56beaa4a3aeaaa14008c91c2,F1,1.0
8,56beaa4a3aeaaa14008c91c2,EM@3,1.0
8,56beaa4a3aeaaa14008c91c2,F1@3,1.0
8,56beaa4a3aeaaa14008c91c3,EM,1.0
8,56beaa4a3aeaaa14008c91c3,F1,1.0
8,56beaa4a3aeaaa14008c91c3,EM@3,1.0
8,56beaa4a3aeaaa14008c91c3,F1@3,1.0
8,56bead5a3aeaaa14008c91e9,EM,1.0
8,56bead5a3aeaaa14008c91e9,F1,1.0
8,56bead5a3aeaaa14008c91e9,EM@3,1.0
8,56bead5a3aeaaa14008c91e9,F1@3,1.0
8,56bead5a3aeaaa14008c91ea,EM,0.0
8,56bead5a3aeaaa14008c91ea,F1,0.0
8,56bead5a3aeaaa14008c91ea,EM@3,1.0
8,56bead5a3aeaaa14008c91ea,F1@3,1.0
8,56bead5a3aeaaa14008c91eb,EM,1.0
8,56bead5a3aeaaa14008c91eb,F1,1.0
8,56bead5a3aeaaa14008c91eb,EM@3,1.0
8,56bead5a3aeaaa14008c91eb,F1@3,1.0
8,56bead5a3aeaaa14008c91ec,EM,1.0
8,56bead5a3aeaaa14008c91ec,F1,1.0
8,56bead5a3aeaaa14008c91ec,EM@3,1.0
8,56bead5a3aeaaa14008c91ec,F1@3,1.0
8,56bead5a3aeaaa14008c91ed,EM,1.0
8,56bead5a3aeaaa14008c91ed,F1,1.0
8,56bead5a3aeaaa14008c91ed,EM@3,1.0
8,56bead5a3aeaaa14008c91ed,F1@3,1.0
8,56bf159b3aeaaa14008c9507,EM,1.0
8,56bf159b3aeaaa14008c9507,F1,1.0
8,56bf159b3aeaaa14008c9507,EM@3,1.0
8,56bf159b3aeaaa14008c9507,F1@3,1.0
8,56bf159b3aeaaa14008c9508,EM,1.0
8,56bf159b3aeaaa14008c9508,F1,1.0
8,56bf159b3aeaaa14008c9508,EM@3,1.0
8,56bf159b3aeaaa14008c9508,F1@3,1.0
8,56bf159b3aeaaa14008c9509,EM,0.0
8,56bf159b3aeaaa14008c9509,F1,0.0
8,56bf159b3aeaaa14008c9509,EM@3,0.0
8,56bf159b3aeaaa14008c9509,F1@3,0.0465116279069767
8,56bf159b3aeaaa14008c950a,EM,1.0
8,56bf159b3aeaaa14008c950a,F1,1.0
8,56bf159b3aeaaa14008c950a,EM@3,1.0
8,56bf159b3aeaaa14008c950a,F1@3,1.0
8,56bf159b3aeaaa14008c950b,EM,1.0
8,56bf159b3aeaaa14008c950b,F1,1.0
8,56bf159b3aeaaa14008c950b,EM@3,1.0
8,56bf159b3aeaaa14008c950b,F1@3,1.0
8,56d2045de7d4791d009025f3,EM,1.0
8,56d2045de7d4791d009025f3,F1,1.0
8,56d2045de7d4791d009025f3,EM@3,1.0
8,56d2045de7d4791d009025f3,F1@3,1.0
8,56d2045de7d4791d009025f4,EM,1.0
8,56d2045de7d4791d009025f4,F1,1.0
8,56d2045de7d4791d009025f4,EM@3,1.0
8,56d2045de7d4791d009025f4,F1@3,1.0
8,56d2045de7d4791d009025f5,EM,0.0
8,56d2045de7d4791d009025f5,F1,0.0
8,56d2045de7d4791d009025f5,EM@3,0.0
8,56d2045de7d4791d009025f5,F1@3,0.0
8,56d2045de7d4791d009025f6,EM,0.0
8,56d2045de7d4791d009025f6,F1,0.0
8,56d2045de7d4791d009025f6,EM@3,0.0
8,56d2045de7d4791d009025f6,F1@3,0.1666666666666666
8,56d6017d1c85041400946ebe,EM,1.0
8,56d6017d1c85041400946ebe,F1,1.0
8,56d6017d1c85041400946ebe,EM@3,1.0
8,56d6017d1c85041400946ebe,F1@3,1.0
8,56d6017d1c85041400946ec1,EM,0.0
8,56d6017d1c85041400946ec1,F1,0.0
8,56d6017d1c85041400946ec1,EM@3,0.0
8,56d6017d1c85041400946ec1,F1@3,0.1666666666666666
8,56d6017d1c85041400946ec2,EM,1.0
8,56d6017d1c85041400946ec2,F1,1.0
8,56d6017d1c85041400946ec2,EM@3,1.0
8,56d6017d1c85041400946ec2,F1@3,1.0
8,56d98a59dc89441400fdb52a,EM,1.0
8,56d98a59dc89441400fdb52a,F1,1.0
8,56d98a59dc89441400fdb52a,EM@3,1.0
8,56d98a59dc89441400fdb52a,F1@3,1.0
8,56d98a59dc89441400fdb52b,EM,1.0
8,56d98a59dc89441400fdb52b,F1,1.0
8,56d98a59dc89441400fdb52b,EM@3,1.0
8,56d98a59dc89441400fdb52b,F1@3,1.0
8,56d98a59dc89441400fdb52e,EM,1.0
8,56d98a59dc89441400fdb52e,F1,1.0
8,56d98a59dc89441400fdb52e,EM@3,1.0
8,56d98a59dc89441400fdb52e,F1@3,1.0
8,56be4eafacb8001400a50302,EM,1.0
8,56be4eafacb8001400a50302,F1,1.0
8,56be4eafacb8001400a50302,EM@3,1.0
8,56be4eafacb8001400a50302,F1@3,1.0
8,56be4eafacb8001400a50303,EM,1.0
8,56be4eafacb8001400a50303,F1,1.0
8,56be4eafacb8001400a50303,EM@3,1.0
8,56be4eafacb8001400a50303,F1@3,1.0
8,56be4eafacb8001400a50304,EM,1.0
8,56be4eafacb8001400a50304,F1,1.0
8,56be4eafacb8001400a50304,EM@3,1.0
8,56be4eafacb8001400a50304,F1@3,1.0
8,56beab833aeaaa14008c91d2,EM,1.0
8,56beab833aeaaa14008c91d2,F1,1.0
8,56beab833aeaaa14008c91d2,EM@3,1.0
8,56beab833aeaaa14008c91d2,F1@3,1.0
8,56beab833aeaaa14008c91d3,EM,1.0
8,56beab833aeaaa14008c91d3,F1,1.0
8,56beab833aeaaa14008c91d3,EM@3,1.0
8,56beab833aeaaa14008c91d3,F1@3,1.0
8,56beab833aeaaa14008c91d4,EM,1.0
8,56beab833aeaaa14008c91d4,F1,1.0
8,56beab833aeaaa14008c91d4,EM@3,1.0
8,56beab833aeaaa14008c91d4,F1@3,1.0
8,56beae423aeaaa14008c91f4,EM,1.0
8,56beae423aeaaa14008c91f4,F1,1.0
8,56beae423aeaaa14008c91f4,EM@3,1.0
8,56beae423aeaaa14008c91f4,F1@3,1.0
8,56beae423aeaaa14008c91f5,EM,1.0
8,56beae423aeaaa14008c91f5,F1,1.0
8,56beae423aeaaa14008c91f5,EM@3,1.0
8,56beae423aeaaa14008c91f5,F1@3,1.0
8,56beae423aeaaa14008c91f6,EM,1.0
8,56beae423aeaaa14008c91f6,F1,1.0
8,56beae423aeaaa14008c91f6,EM@3,1.0
8,56beae423aeaaa14008c91f6,F1@3,1.0
8,56beae423aeaaa14008c91f7,EM,1.0
8,56beae423aeaaa14008c91f7,F1,1.0
8,56beae423aeaaa14008c91f7,EM@3,1.0
8,56beae423aeaaa14008c91f7,F1@3,1.0
8,56bf17653aeaaa14008c9511,EM,1.0
8,56bf17653aeaaa14008c9511,F1,1.0
8,56bf17653aeaaa14008c9511,EM@3,1.0
8,56bf17653aeaaa14008c9511,F1@3,1.0
8,56bf17653aeaaa14008c9513,EM,1.0
8,56bf17653aeaaa14008c9513,F1,1.0
8,56bf17653aeaaa14008c9513,EM@3,1.0
8,56bf17653aeaaa14008c9513,F1@3,1.0
8,56bf17653aeaaa14008c9514,EM,1.0
8,56bf17653aeaaa14008c9514,F1,1.0
8,56bf17653aeaaa14008c9514,EM@3,1.0
8,56bf17653aeaaa14008c9514,F1@3,1.0
8,56bf17653aeaaa14008c9515,EM,1.0
8,56bf17653aeaaa14008c9515,F1,1.0
8,56bf17653aeaaa14008c9515,EM@3,1.0
8,56bf17653aeaaa14008c9515,F1@3,1.0
8,56d204ade7d4791d00902603,EM,1.0
8,56d204ade7d4791d00902603,F1,1.0
8,56d204ade7d4791d00902603,EM@3,1.0
8,56d204ade7d4791d00902603,F1@3,1.0
8,56d204ade7d4791d00902604,EM,1.0
8,56d204ade7d4791d00902604,F1,1.0
8,56d204ade7d4791d00902604,EM@3,1.0
8,56d204ade7d4791d00902604,F1@3,1.0
8,56d601e41c85041400946ece,EM,1.0
8,56d601e41c85041400946ece,F1,1.0
8,56d601e41c85041400946ece,EM@3,1.0
8,56d601e41c85041400946ece,F1@3,1.0
8,56d601e41c85041400946ecf,EM,1.0
8,56d601e41c85041400946ecf,F1,1.0
8,56d601e41c85041400946ecf,EM@3,1.0
8,56d601e41c85041400946ecf,F1@3,1.0
8,56d601e41c85041400946ed0,EM,1.0
8,56d601e41c85041400946ed0,F1,1.0
8,56d601e41c85041400946ed0,EM@3,1.0
8,56d601e41c85041400946ed0,F1@3,1.0
8,56d601e41c85041400946ed1,EM,1.0
8,56d601e41c85041400946ed1,F1,1.0
8,56d601e41c85041400946ed1,EM@3,1.0
8,56d601e41c85041400946ed1,F1@3,1.0
8,56d601e41c85041400946ed2,EM,1.0
8,56d601e41c85041400946ed2,F1,1.0
8,56d601e41c85041400946ed2,EM@3,1.0
8,56d601e41c85041400946ed2,F1@3,1.0
8,56d98b33dc89441400fdb53b,EM,1.0
8,56d98b33dc89441400fdb53b,F1,1.0
8,56d98b33dc89441400fdb53b,EM@3,1.0
8,56d98b33dc89441400fdb53b,F1@3,1.0
8,56d98b33dc89441400fdb53c,EM,1.0
8,56d98b33dc89441400fdb53c,F1,1.0
8,56d98b33dc89441400fdb53c,EM@3,1.0
8,56d98b33dc89441400fdb53c,F1@3,1.0
8,56d98b33dc89441400fdb53d,EM,1.0
8,56d98b33dc89441400fdb53d,F1,1.0
8,56d98b33dc89441400fdb53d,EM@3,1.0
8,56d98b33dc89441400fdb53d,F1@3,1.0
8,56d98b33dc89441400fdb53e,EM,1.0
8,56d98b33dc89441400fdb53e,F1,1.0
8,56d98b33dc89441400fdb53e,EM@3,1.0
8,56d98b33dc89441400fdb53e,F1@3,1.0
8,56be5333acb8001400a5030a,EM,1.0
8,56be5333acb8001400a5030a,F1,1.0
8,56be5333acb8001400a5030a,EM@3,1.0
8,56be5333acb8001400a5030a,F1@3,1.0
8,56be5333acb8001400a5030b,EM,1.0
8,56be5333acb8001400a5030b,F1,1.0
8,56be5333acb8001400a5030b,EM@3,1.0
8,56be5333acb8001400a5030b,F1@3,1.0
8,56be5333acb8001400a5030c,EM,1.0
8,56be5333acb8001400a5030c,F1,1.0
8,56be5333acb8001400a5030c,EM@3,1.0
8,56be5333acb8001400a5030c,F1@3,1.0
8,56be5333acb8001400a5030d,EM,1.0
8,56be5333acb8001400a5030d,F1,1.0
8,56be5333acb8001400a5030d,EM@3,1.0
8,56be5333acb8001400a5030d,F1@3,1.0
8,56be5333acb8001400a5030e,EM,0.0
8,56be5333acb8001400a5030e,F1,0.6666666666666666
8,56be5333acb8001400a5030e,EM@3,0.0
8,56be5333acb8001400a5030e,F1@3,0.6666666666666666
8,56beaf5e3aeaaa14008c91fd,EM,1.0
8,56beaf5e3aeaaa14008c91fd,F1,1.0
8,56beaf5e3aeaaa14008c91fd,EM@3,1.0
8,56beaf5e3aeaaa14008c91fd,F1@3,1.0
8,56beaf5e3aeaaa14008c91fe,EM,1.0
8,56beaf5e3aeaaa14008c91fe,F1,1.0
8,56beaf5e3aeaaa14008c91fe,EM@3,1.0
8,56beaf5e3aeaaa14008c91fe,F1@3,1.0
8,56beaf5e3aeaaa14008c91ff,EM,0.0
8,56beaf5e3aeaaa14008c91ff,F1,0.4
8,56beaf5e3aeaaa14008c91ff,EM@3,0.0
8,56beaf5e3aeaaa14008c91ff,F1@3,0.4
8,56beaf5e3aeaaa14008c9200,EM,0.0
8,56beaf5e3aeaaa14008c9200,F1,0.6666666666666666
8,56beaf5e3aeaaa14008c9200,EM@3,1.0
8,56beaf5e3aeaaa14008c9200,F1@3,1.0
8,56beaf5e3aeaaa14008c9201,EM,0.0
8,56beaf5e3aeaaa14008c9201,F1,0.0
8,56beaf5e3aeaaa14008c9201,EM@3,0.0
8,56beaf5e3aeaaa14008c9201,F1@3,0.0
8,56bf1ae93aeaaa14008c951b,EM,1.0
8,56bf1ae93aeaaa14008c951b,F1,1.0
8,56bf1ae93aeaaa14008c951b,EM@3,1.0
8,56bf1ae93aeaaa14008c951b,F1@3,1.0
8,56bf1ae93aeaaa14008c951c,EM,1.0
8,56bf1ae93aeaaa14008c951c,F1,1.0
8,56bf1ae93aeaaa14008c951c,EM@3,1.0
8,56bf1ae93aeaaa14008c951c,F1@3,1.0
8,56bf1ae93aeaaa14008c951e,EM,0.0
8,56bf1ae93aeaaa14008c951e,F1,0.6666666666666666
8,56bf1ae93aeaaa14008c951e,EM@3,1.0
8,56bf1ae93aeaaa14008c951e,F1@3,1.0
8,56bf1ae93aeaaa14008c951f,EM,0.0
8,56bf1ae93aeaaa14008c951f,F1,0.0
8,56bf1ae93aeaaa14008c951f,EM@3,0.0
8,56bf1ae93aeaaa14008c951f,F1@3,0.0
8,56d2051ce7d4791d00902608,EM,1.0
8,56d2051ce7d4791d00902608,F1,1.0
8,56d2051ce7d4791d00902608,EM@3,1.0
8,56d2051ce7d4791d00902608,F1@3,1.0
8,56d2051ce7d4791d00902609,EM,1.0
8,56d2051ce7d4791d00902609,F1,1.0
8,56d2051ce7d4791d00902609,EM@3,1.0
8,56d2051ce7d4791d00902609,F1@3,1.0
8,56d2051ce7d4791d0090260a,EM,1.0
8,56d2051ce7d4791d0090260a,F1,1.0
8,56d2051ce7d4791d0090260a,EM@3,1.0
8,56d2051ce7d4791d0090260a,F1@3,1.0
8,56d2051ce7d4791d0090260b,EM,1.0
8,56d2051ce7d4791d0090260b,F1,1.0
8,56d2051ce7d4791d0090260b,EM@3,1.0
8,56d2051ce7d4791d0090260b,F1@3,1.0
8,56d602631c85041400946ed8,EM,1.0
8,56d602631c85041400946ed8,F1,1.0
8,56d602631c85041400946ed8,EM@3,1.0
8,56d602631c85041400946ed8,F1@3,1.0
8,56d602631c85041400946eda,EM,0.0
8,56d602631c85041400946eda,F1,0.1999999999999999
8,56d602631c85041400946eda,EM@3,1.0
8,56d602631c85041400946eda,F1@3,1.0
8,56d602631c85041400946edb,EM,1.0
8,56d602631c85041400946edb,F1,1.0
8,56d602631c85041400946edb,EM@3,1.0
8,56d602631c85041400946edb,F1@3,1.0
8,56d602631c85041400946edc,EM,0.0
8,56d602631c85041400946edc,F1,0.3529411764705882
8,56d602631c85041400946edc,EM@3,1.0
8,56d602631c85041400946edc,F1@3,1.0
8,56d98c53dc89441400fdb544,EM,1.0
8,56d98c53dc89441400fdb544,F1,1.0
8,56d98c53dc89441400fdb544,EM@3,1.0
8,56d98c53dc89441400fdb544,F1@3,1.0
8,56d98c53dc89441400fdb545,EM,0.0
8,56d98c53dc89441400fdb545,F1,0.0
8,56d98c53dc89441400fdb545,EM@3,0.0
8,56d98c53dc89441400fdb545,F1@3,0.1999999999999999
8,56d98c53dc89441400fdb546,EM,1.0
8,56d98c53dc89441400fdb546,F1,1.0
8,56d98c53dc89441400fdb546,EM@3,1.0
8,56d98c53dc89441400fdb546,F1@3,1.0
8,56d98c53dc89441400fdb548,EM,0.0
8,56d98c53dc89441400fdb548,F1,0.6666666666666666
8,56d98c53dc89441400fdb548,EM@3,1.0
8,56d98c53dc89441400fdb548,F1@3,1.0
8,56be53b8acb8001400a50314,EM,1.0
8,56be53b8acb8001400a50314,F1,1.0
8,56be53b8acb8001400a50314,EM@3,1.0
8,56be53b8acb8001400a50314,F1@3,1.0
8,56be53b8acb8001400a50315,EM,1.0
8,56be53b8acb8001400a50315,F1,1.0
8,56be53b8acb8001400a50315,EM@3,1.0
8,56be53b8acb8001400a50315,F1@3,1.0
8,56be53b8acb8001400a50316,EM,1.0
8,56be53b8acb8001400a50316,F1,1.0
8,56be53b8acb8001400a50316,EM@3,1.0
8,56be53b8acb8001400a50316,F1@3,1.0
8,56beafca3aeaaa14008c9207,EM,1.0
8,56beafca3aeaaa14008c9207,F1,1.0
8,56beafca3aeaaa14008c9207,EM@3,1.0
8,56beafca3aeaaa14008c9207,F1@3,1.0
8,56beafca3aeaaa14008c9208,EM,1.0
8,56beafca3aeaaa14008c9208,F1,1.0
8,56beafca3aeaaa14008c9208,EM@3,1.0
8,56beafca3aeaaa14008c9208,F1@3,1.0
8,56bf42f53aeaaa14008c95a3,EM,1.0
8,56bf42f53aeaaa14008c95a3,F1,1.0
8,56bf42f53aeaaa14008c95a3,EM@3,1.0
8,56bf42f53aeaaa14008c95a3,F1@3,1.0
8,56d2053ae7d4791d00902610,EM,1.0
8,56d2053ae7d4791d00902610,F1,1.0
8,56d2053ae7d4791d00902610,EM@3,1.0
8,56d2053ae7d4791d00902610,F1@3,1.0
8,56d6edd00d65d21400198250,EM,1.0
8,56d6edd00d65d21400198250,F1,1.0
8,56d6edd00d65d21400198250,EM@3,1.0
8,56d6edd00d65d21400198250,F1@3,1.0
8,56d6edd00d65d21400198251,EM,1.0
8,56d6edd00d65d21400198251,F1,1.0
8,56d6edd00d65d21400198251,EM@3,1.0
8,56d6edd00d65d21400198251,F1@3,1.0
8,56d98d0adc89441400fdb54e,EM,1.0
8,56d98d0adc89441400fdb54e,F1,1.0
8,56d98d0adc89441400fdb54e,EM@3,1.0
8,56d98d0adc89441400fdb54e,F1@3,1.0
8,56d98d0adc89441400fdb54f,EM,1.0
8,56d98d0adc89441400fdb54f,F1,1.0
8,56d98d0adc89441400fdb54f,EM@3,1.0
8,56d98d0adc89441400fdb54f,F1@3,1.0
8,56be5438acb8001400a5031a,EM,1.0
8,56be5438acb8001400a5031a,F1,1.0
8,56be5438acb8001400a5031a,EM@3,1.0
8,56be5438acb8001400a5031a,F1@3,1.0
8,56be5438acb8001400a5031b,EM,1.0
8,56be5438acb8001400a5031b,F1,1.0
8,56be5438acb8001400a5031b,EM@3,1.0
8,56be5438acb8001400a5031b,F1@3,1.0
8,56be5438acb8001400a5031c,EM,0.0
8,56be5438acb8001400a5031c,F1,0.5714285714285715
8,56be5438acb8001400a5031c,EM@3,1.0
8,56be5438acb8001400a5031c,F1@3,1.0
8,56beb03c3aeaaa14008c920b,EM,1.0
8,56beb03c3aeaaa14008c920b,F1,1.0
8,56beb03c3aeaaa14008c920b,EM@3,1.0
8,56beb03c3aeaaa14008c920b,F1@3,1.0
8,56beb03c3aeaaa14008c920d,EM,1.0
8,56beb03c3aeaaa14008c920d,F1,1.0
8,56beb03c3aeaaa14008c920d,EM@3,1.0
8,56beb03c3aeaaa14008c920d,F1@3,1.0
8,56bf3c633aeaaa14008c9580,EM,1.0
8,56bf3c633aeaaa14008c9580,F1,1.0
8,56bf3c633aeaaa14008c9580,EM@3,1.0
8,56bf3c633aeaaa14008c9580,F1@3,1.0
8,56bf3c633aeaaa14008c9581,EM,0.0
8,56bf3c633aeaaa14008c9581,F1,0.6666666666666666
8,56bf3c633aeaaa14008c9581,EM@3,1.0
8,56bf3c633aeaaa14008c9581,F1@3,1.0
8,56bf3c633aeaaa14008c9582,EM,1.0
8,56bf3c633aeaaa14008c9582,F1,1.0
8,56bf3c633aeaaa14008c9582,EM@3,1.0
8,56bf3c633aeaaa14008c9582,F1@3,1.0
8,56d20564e7d4791d00902612,EM,1.0
8,56d20564e7d4791d00902612,F1,0.9333333333333332
8,56d20564e7d4791d00902612,EM@3,1.0
8,56d20564e7d4791d00902612,F1@3,0.9333333333333332
8,56d6ee6e0d65d21400198254,EM,1.0
8,56d6ee6e0d65d21400198254,F1,1.0
8,56d6ee6e0d65d21400198254,EM@3,1.0
8,56d6ee6e0d65d21400198254,F1@3,1.0
8,56d6ee6e0d65d21400198255,EM,1.0
8,56d6ee6e0d65d21400198255,F1,1.0
8,56d6ee6e0d65d21400198255,EM@3,1.0
8,56d6ee6e0d65d21400198255,F1@3,1.0
8,56d6ee6e0d65d21400198256,EM,1.0
8,56d6ee6e0d65d21400198256,F1,1.0
8,56d6ee6e0d65d21400198256,EM@3,1.0
8,56d6ee6e0d65d21400198256,F1@3,1.0
8,56d6ee6e0d65d21400198257,EM,0.0
8,56d6ee6e0d65d21400198257,F1,0.0
8,56d6ee6e0d65d21400198257,EM@3,0.0
8,56d6ee6e0d65d21400198257,F1@3,0.0
8,56d6ee6e0d65d21400198258,EM,1.0
8,56d6ee6e0d65d21400198258,F1,1.0
8,56d6ee6e0d65d21400198258,EM@3,1.0
8,56d6ee6e0d65d21400198258,F1@3,1.0
8,56d98db6dc89441400fdb552,EM,1.0
8,56d98db6dc89441400fdb552,F1,1.0
8,56d98db6dc89441400fdb552,EM@3,1.0
8,56d98db6dc89441400fdb552,F1@3,1.0
8,56d98db6dc89441400fdb553,EM,1.0
8,56d98db6dc89441400fdb553,F1,1.0
8,56d98db6dc89441400fdb553,EM@3,1.0
8,56d98db6dc89441400fdb553,F1@3,1.0
8,56d98db6dc89441400fdb554,EM,1.0
8,56d98db6dc89441400fdb554,F1,1.0
8,56d98db6dc89441400fdb554,EM@3,1.0
8,56d98db6dc89441400fdb554,F1@3,1.0
8,56be54bdacb8001400a50322,EM,1.0
8,56be54bdacb8001400a50322,F1,1.0
8,56be54bdacb8001400a50322,EM@3,1.0
8,56be54bdacb8001400a50322,F1@3,1.0
